original_id	counterfactual_id	negation_additions	negation_deletions	affect word_additions	affect word_deletions	gender word_additions	gender word_deletions	identity word_additions	identity word_deletions	hedges_additions	hedges_deletions	hate words_additions	hate words_deletions
0	0p	False	False	True	True	False	False	False	False	False	False	False	False
1	1p	False	False	True	True	False	True	False	False	False	False	False	False
2	2p	False	True	True	True	False	False	False	False	False	False	False	False
3	3p	False	True	True	True	False	False	False	False	False	True	False	False
4	4p	False	False	True	True	False	False	False	False	False	False	False	False
5	5p	False	True	True	True	False	False	False	False	False	False	False	False
6	6p	False	False	True	True	False	False	False	False	False	False	False	False
7	7p	False	True	True	True	False	False	False	False	False	False	False	False
8	8p	False	True	True	True	False	False	False	False	False	False	False	True
9	9p	True	True	True	True	False	False	False	False	False	False	False	False
10	10p	False	True	True	True	False	False	False	False	False	False	False	False
11	11p	False	False	True	True	False	False	False	False	False	False	False	False
12	12p	False	True	False	False	True	False	False	False	False	False	False	False
13	13p	True	False	True	True	False	False	False	False	False	True	False	False
14	14p	False	True	True	True	False	False	False	False	False	False	False	False
15	15p	True	False	True	True	False	False	False	False	False	False	False	False
16	16p	False	True	True	True	False	False	False	False	True	False	False	False
17	17p	False	False	True	True	False	False	False	False	False	False	False	False
18	18p	False	True	True	True	False	False	False	False	False	False	False	False
19	19p	True	False	True	True	False	False	False	False	False	False	False	False
20	20p	False	False	True	True	False	False	False	False	False	True	False	False
21	21p	False	False	True	True	True	False	False	False	False	False	False	False
22	22p	True	True	True	False	False	False	False	False	False	False	False	False
23	23p	True	True	True	True	False	False	False	False	False	False	False	False
24	24p	False	False	True	False	False	False	False	True	False	False	False	True
25	25p	False	False	True	True	False	False	False	False	False	False	False	False
26	26p	False	True	True	True	False	True	False	False	False	False	False	False
27	27p	True	True	True	True	False	False	False	False	False	True	False	False
28	28p	False	True	True	True	False	False	False	False	False	False	False	False
29	29p	False	True	True	True	False	False	False	False	True	False	False	False
30	30p	True	False	True	True	False	False	False	False	False	True	False	False
31	31p	True	False	True	True	False	False	False	False	False	False	False	False
32	32p	False	False	True	True	False	False	False	False	False	False	False	False
33	33p	True	True	True	False	False	False	False	False	True	True	False	False
34	34p	False	False	True	True	False	False	False	False	False	False	False	False
35	35p	True	True	True	True	True	False	False	False	False	False	False	False
36	36p	True	False	True	True	False	False	False	False	False	False	False	False
37	37p	True	False	True	True	False	False	False	False	False	False	False	False
38	38p	True	False	True	True	False	False	False	False	False	False	False	False
39	39p	True	False	True	True	False	False	False	False	False	False	False	False
40	40p	True	True	True	True	False	False	False	False	False	True	False	False
41	41p	False	False	True	True	False	False	False	False	False	False	False	False
42	42p	False	True	True	True	False	False	False	False	False	False	False	False
43	43p	False	False	False	False	False	False	False	False	False	False	False	False
44	44p	False	True	True	True	False	False	False	False	False	False	False	False
45	45p	True	True	True	True	False	False	False	False	False	True	False	False
46	46p	False	True	True	True	False	False	False	False	False	False	False	False
47	47p	False	True	True	True	False	False	False	False	True	False	False	False
48	48p	False	True	True	True	False	False	False	False	False	True	False	False
49	49p	True	False	False	False	False	False	False	False	False	False	False	False
50	50p	True	True	True	False	False	False	False	False	False	True	False	False
51	51p	True	False	True	False	False	False	False	False	True	True	False	False
52	52p	False	True	True	True	False	False	False	False	True	False	False	False
53	53p	False	True	True	False	False	False	False	False	True	False	False	False
54	54p	False	False	True	True	False	False	False	False	True	False	False	False
55	55p	True	False	True	True	False	False	False	False	False	False	False	False
56	56p	False	True	True	True	False	False	False	False	True	False	False	False
57	57p	True	False	True	True	False	False	False	False	False	False	False	False
58	58p	False	True	True	True	False	False	False	False	False	False	False	False
59	59p	False	False	True	True	False	False	False	False	True	False	False	False
60	60p	False	True	True	True	False	False	False	False	True	True	False	False
61	61p	False	True	True	True	False	False	False	False	False	False	False	False
62	62p	False	True	True	True	False	False	False	False	True	False	False	False
63	63p	True	False	True	True	False	False	False	False	False	False	False	False
64	64p	False	True	True	True	False	False	False	False	False	True	False	False
65	65p	False	True	True	True	False	False	False	False	True	False	False	False
66	66p	False	True	True	True	False	False	False	False	False	True	False	False
67	67p	True	False	True	True	False	False	False	False	True	True	False	False
68	68p	False	True	True	True	False	False	False	False	False	False	False	False
69	69p	False	True	True	True	False	True	False	False	False	True	False	False
70	70p	False	False	True	True	False	False	False	False	False	False	False	False
71	71p	False	True	True	True	False	True	False	False	False	False	False	False
72	72p	False	False	True	True	False	False	False	False	False	False	False	False
73	73p	False	False	True	True	False	False	False	False	False	False	False	False
74	74p	True	False	True	True	False	False	False	False	False	False	False	False
75	75p	False	True	True	True	False	False	False	False	False	False	False	False
76	76p	False	True	True	True	False	False	False	False	True	False	False	False
77	77p	False	True	True	True	False	False	False	False	False	True	False	False
78	78p	True	True	True	True	False	False	False	False	True	True	False	False
79	79p	True	False	True	True	False	False	False	False	True	True	False	False
80	80p	False	False	True	True	False	False	False	False	False	False	False	False
81	81p	False	True	True	True	False	False	False	False	True	True	False	False
82	82p	False	False	True	True	False	False	False	False	False	False	False	False
83	83p	False	True	True	True	False	False	False	False	False	False	False	False
84	84p	False	True	True	False	False	False	False	False	False	False	False	False
85	85p	False	False	True	True	False	False	False	False	False	False	False	False
86	86p	False	True	True	True	False	False	False	False	True	True	False	False
87	87p	False	True	True	True	False	False	False	False	False	False	False	False
88	88p	False	False	True	True	False	False	False	False	False	True	False	False
89	89p	True	False	True	True	False	False	False	False	False	False	False	False
90	90p	False	False	True	True	False	False	False	False	False	True	False	False
91	91p	False	False	True	True	False	False	False	False	False	False	False	False
92	92p	False	False	True	True	False	False	False	False	False	False	False	False
93	93p	True	True	True	True	False	False	False	False	False	False	False	False
94	94p	False	True	True	True	False	False	False	False	False	False	False	False
95	95p	False	False	True	True	False	False	False	False	False	True	False	False
96	96p	False	False	True	True	False	False	False	True	False	True	False	True
97	97p	False	False	True	True	False	False	False	False	False	False	False	False
98	98p	False	False	True	True	False	False	False	False	False	False	False	False
99	99p	True	True	True	True	False	False	False	False	False	True	False	False
100	100p	True	True	True	True	False	False	False	False	False	False	False	False
101	101p	False	False	True	True	False	False	False	False	False	False	False	False
102	102p	True	False	True	True	False	False	False	False	False	False	False	False
103	103p	True	True	True	True	False	False	False	False	False	False	False	False
104	104p	False	False	True	True	False	False	False	False	False	False	False	False
105	105p	False	True	True	True	False	False	False	False	False	False	False	False
106	106p	False	True	True	True	False	False	False	False	False	False	False	False
107	107p	False	False	True	True	False	False	False	False	False	False	False	False
108	108p	True	False	True	True	False	False	False	False	False	True	False	False
109	109p	False	False	True	True	False	False	False	False	False	False	False	False
110	110p	False	True	True	True	False	False	False	False	True	False	False	False
111	111p	False	True	True	True	False	False	False	False	False	True	False	False
112	112p	False	True	True	True	True	False	False	False	True	False	False	False
113	113p	True	True	True	False	False	False	False	False	False	True	False	False
114	114p	True	True	True	True	False	False	False	False	False	False	False	False
115	115p	False	True	True	True	False	False	False	False	False	False	False	False
116	116p	False	True	True	True	False	False	False	False	False	False	False	False
117	117p	False	False	True	True	False	False	False	False	False	False	False	False
118	118p	False	True	True	True	False	False	False	False	True	True	False	False
119	119p	False	False	True	True	False	False	False	False	False	False	False	False
120	120p	False	False	True	True	False	False	False	False	False	False	False	False
121	121p	False	True	True	True	False	False	False	False	False	False	False	False
122	122p	True	True	True	True	False	False	False	False	False	False	False	False
123	123p	False	False	True	True	False	False	False	False	False	False	False	False
124	124p	True	True	True	True	False	False	False	False	False	False	False	False
125	125p	False	True	True	True	False	False	False	False	False	False	False	False
126	126p	False	False	True	False	False	False	False	False	False	False	False	False
127	127p	False	False	True	True	False	False	False	False	False	False	False	False
128	128p	False	True	True	True	False	False	False	False	False	True	False	False
129	129p	False	True	True	True	False	False	False	False	False	False	False	False
130	130p	True	True	True	True	False	False	False	False	True	True	False	False
131	131p	False	False	True	True	False	False	False	False	False	False	False	True
132	132p	False	True	True	True	False	False	False	False	False	False	False	False
133	133p	False	True	True	True	False	False	False	False	False	True	False	False
134	134p	False	False	True	True	False	False	False	False	False	False	False	False
135	135p	False	True	True	True	False	False	False	False	False	False	False	False
136	136p	False	False	True	True	False	False	False	False	False	False	False	False
137	137p	False	False	True	True	False	False	False	False	True	True	False	False
138	138p	True	True	True	True	False	False	False	False	False	True	False	False
139	139p	False	True	True	True	True	False	False	False	False	True	False	False
140	140p	False	False	True	True	False	False	False	False	False	False	False	False
141	141p	False	True	True	True	False	False	False	False	False	False	False	False
142	142p	False	True	True	True	False	False	False	False	False	False	False	False
143	143p	False	False	True	True	False	False	False	False	False	False	False	False
144	144p	False	True	True	True	False	False	False	False	False	True	False	False
